id,name,set_name,rarity,type,supertype,color,cost,might,tags,effect,flavor,promo,banned,errata,url
OGN-008,Get Excited!,Origins,Common,Spell,,Fury,2,,,"[Action] (Play on your turn or in showdowns.)
Discard 1. Deal its Energy cost as damage to a unit at a battlefield. (Ignore its Power cost.)","“Everybody, panic!”",False,False,,https://riftbound.gg/cards/ogn-008-get-excited/
OGN-009,Hextech Ray,Origins,Common,Spell,,Fury,1,,,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield.",“Destroy. Then improve.”,False,False,,https://riftbound.gg/cards/ogn-009-hextech-ray/
OGN-010,Legion Rearguard,Origins,Common,Unit,,Fury,2,2,Trifarian; Noxus,[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.),The last line of offense.,False,False,,https://riftbound.gg/cards/ogn-010-legion-rearguard/
OGN-011,Magma Wurm,Origins,Common,Unit,,Fury,8,8,Freljord,Other friendly units enter ready.,A river of flame in an ocean of ice.,False,False,,https://riftbound.gg/cards/ogn-011-magma-wurm/
OGN-012,Noxus Hopeful,Origins,Common,Unit,,Fury,4,4,Trifarian; Noxus,[Legion] — I cost {2 Energy} less. (Get the effect if you've played another card this turn.),"First to the front, first to glory.",False,False,,https://riftbound.gg/cards/ogn-012-noxus-hopeful/
OGN-013,Pouty Poro,Origins,Common,Unit,,Fury,2,2,Poro,[Deflect] (Opponents must pay {Any Rune} to choose me with a spell or ability.),"“Braum takes medicine too, see?” — Braum",False,False,,https://riftbound.gg/cards/ogn-013-pouty-poro/
OGN-013-P,Pouty Poro (Origins Nexus Night Promo),Origins,Common,Unit,,Fury,2,2,Poro,[Deflect] (Opponents must pay {Any Rune} to choose me with a spell or ability.),"“Braum takes medicine too, see?” — Braum",True,False,,https://riftbound.gg/cards/ogn-013-p-pouty-poro/
OGN-014,Sky Splitter,Origins,Common,Spell,,Fury,8,,,"[Action] (Play on your turn or in showdowns.)
This spell's Energy cost is reduced by the highest Might among units you control.
Deal 5 to a unit at a battlefield.",“Puny mortals!” — Volibear,False,False,,https://riftbound.gg/cards/ogn-014-sky-splitter/
OGN-015,Captain Farron,Origins,Uncommon,Unit,,Fury,4,5,Trifarian; Noxus,Other friendly units here have [Assault]. (+1 {Might} while they're attackers.),“Forward! Always!”,False,False,,https://riftbound.gg/cards/ogn-015-captain-farron/
OGN-016,Dangerous Duo,Origins,Uncommon,Unit,,Fury,3,3,Mech; Bandle City,"[Legion] — When you play me, give a unit +2 {Might} this turn. (Get the effect if you've played another card this turn.)",,False,False,,https://riftbound.gg/cards/ogn-016-dangerous-duo/
OGN-017,Iron Ballista,Origins,Uncommon,Gear,,Fury,3,,,"This enters exhausted.
{Exhaust}: Deal 2 to a unit at a battlefield.",“There's no way they can hit us at this dist—AUGH!”,False,False,,https://riftbound.gg/cards/ogn-017-iron-ballista/
OGN-018,Noxus Saboteur,Origins,Uncommon,Unit,,Fury,3,3,Trifarian; Noxus,Your opponents' [Hidden] cards can't be revealed here.,Nothing fails like a perfect plan.,False,False,,https://riftbound.gg/cards/ogn-018-noxus-saboteur/
OGN-019,Raging Soul,Origins,Uncommon,Unit,,Fury,4,4,Spirit; Shadow Isles,"If you've discarded a card this turn, I have [Assault] and [Ganking]. (+1 {Might} while I'm an attacker. I can move from battlefield to battlefield.)",,False,False,,https://riftbound.gg/cards/ogn-019-raging-soul/
OGN-020,Scrapyard Champion,Origins,Uncommon,Unit,,Fury,5,5,Mech; Bandle City,"[Legion] — When you play me, discard 2, then draw 2. (Get the effect if you've played another card this turn.)",“Last one standing” is a bit subjective.,False,False,,https://riftbound.gg/cards/ogn-020-scrapyard-champion/
OGN-021,Sun Disc,Origins,Uncommon,Gear,,Fury,2,,,{Exhaust}: [Legion] — The next unit you play this turn enters ready. (Get the effect if you've played another card this turn.),"“Those who follow me follow destiny!”  
– Azir",False,False,,https://riftbound.gg/cards/ogn-021-sun-disc/
OGN-022,Thermo Beam,Origins,Uncommon,Spell,,Fury,5,,,"[Action] (Play on your turn or in showdowns.)
Kill all gear.","“Turn the limiter off, the beam is totally stable.” —Common last words",False,False,,https://riftbound.gg/cards/ogn-022-thermo-beam/
OGN-023,Unlicensed Armory,Origins,Uncommon,Gear,,Fury,2,,,"Discard 1, {Exhaust}: Choose a friendly unit. The next time it dies this turn, you may pay {Fury Rune} to recall it exhausted instead. (Send it to base. This isn't a move.)",,False,False,"Discard 1, {Exhaust}: Choose a friendly unit. The next time it would die this turn, you may pay {Fury Rune} to heal it, exhaust it, and recall it instead. (Send it to base. This isn't a move.)",https://riftbound.gg/cards/ogn-023-unlicensed-armory/
OGN-024,Void Seeker,Origins,Uncommon,Spell,,Fury,3,,,"[Action] (Play on your turn or in showdowns.)
Deal 4 to a unit at a battlefield. Draw 1.",“It’s a good day for a hunt.” —Kai’Sa,False,False,,https://riftbound.gg/cards/ogn-024-void-seeker/
OGN-024-P,Void Seeker (Origins Nexus Night Promo),Origins,Uncommon,Spell,,Fury,3,,,"[Action] (Play on your turn or in showdowns.)
Deal 4 to a unit at a battlefield. Draw 1.",,True,False,,https://riftbound.gg/cards/ogn-024-p-void-seeker/
OGN-025,Blind Fury,Origins,Rare,Spell,,Fury,4,,,"[Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and banish it, then play it, ignoring its cost. Then recycle the rest.",,False,False,"[Action] (Play on your turn or in showdowns.)
Each opponent reveals the top card of their Main Deck. Choose one and banish it, then play it, ignoring its cost. Then recycle the rest.",https://riftbound.gg/cards/ogn-025-blind-fury/
OGN-026,Brynhir Thundersong,Origins,Rare,Unit,,Fury,6,5,Freljord,"When you play me, opponents can't play cards this turn.",“Silence. The sky speaks.”,False,False,,https://riftbound.gg/cards/ogn-026-brynhir-thundersong/
OGN-027,Darius - Trifarian,Origins,Rare,Unit,Champion,Fury,5,5,Trifarian; Darius; Noxus,"When you play your second card in a turn, give me +2 {Might} this turn and ready me.",“With overwhelming force.”,False,False,,https://riftbound.gg/cards/ogn-027-darius-trifarian/
OGN-027a,Darius - Trifarian,Origins,Showcase,Unit,Champion,Fury,5,5,Trifarian; Darius; Noxus,"When you play your second card in a turn, give me +2 {Might} this turn and ready me.",“With overwhelming force.”,False,False,,https://riftbound.gg/cards/ogn-027a-darius-trifarian/
OGN-028,Draven - Showboat,Origins,Rare,Unit,Champion,Fury,5,3,Draven; Noxus,My Might is increased by your points.,“Let’s admire me for a bit.”,False,False,,https://riftbound.gg/cards/ogn-028-draven-showboat/
OGN-029,Falling Star,Origins,Rare,Spell,,Fury,2,,,"Deal 3 to a unit.
Deal 3 to a unit.",,False,False,"Deal 3 to a unit.
Deal 3 to a unit.",https://riftbound.gg/cards/ogn-029-falling-star/
OGN-030,Jinx - Demolitionist,Origins,Rare,Unit,Champion,Fury,3,4,Jinx; Zaun,"[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.)
[Assault 2] (+2 {Might} while I'm an attacker.)
When you play me, discard 2.",“I really need a new gun. But don’t tell my other guns.”,False,False,,https://riftbound.gg/cards/ogn-030-jinx-demolitionist/
OGN-030a,Jinx - Demolitionist,Origins,Showcase,Unit,Champion,Fury,3,4,Jinx; Zaun,"[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.)
[Assault 2] (+2 {Might} while I'm an attacker.)
When you play me, discard 2.",“I really need a new gun. But don’t tell my other guns.”,False,False,,https://riftbound.gg/cards/ogn-030a-jinx-demolitionist/
OGN-031,Raging Firebrand,Origins,Rare,Unit,,Fury,6,4,Dragon; Mount Targon,"When you play me, the next spell you play this turn costs {5 Energy} less.",,False,False,,https://riftbound.gg/cards/ogn-031-raging-firebrand/
OGN-032,Ravenborn Tome,Origins,Rare,Gear,,Fury,3,,,{Exhaust}: The next spell you play this turn deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),"The book is bound in flame-resistant materials, for obvious reasons.",False,False,{Exhaust}: The next spell you play this turn deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),https://riftbound.gg/cards/ogn-032-ravenborn-tome/
OGN-033,Shakedown,Origins,Rare,Spell,,Fury,2,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose an enemy unit. Deal 6 to it unless its controller has you draw 2.",“Blink once for yes.”,False,False,,https://riftbound.gg/cards/ogn-033-shakedown/
OGN-034,Tryndamere - Barbarian,Origins,Rare,Unit,Champion,Fury,7,8,Tryndamere; Freljord,"When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.",“You never stood a chance.”,False,False,,https://riftbound.gg/cards/ogn-034-tryndamere-barbarian/
OGN-034-P,"Tryndamere, Barbarian (Origins Summoner Skirmish Participation Promo)",Origins,Rare,Unit,,Fury,7,8,Tryndamere; Freljord,"When I conquer after an attack, if you assigned 5 or more excess damage to opponent's units, you score 1 Point.",,True,False,,https://riftbound.gg/cards/ogn-034-p-tryndamere-barbarian/
OGN-035,Vayne - Hunter,Origins,Rare,Unit,Champion,Fury,4,2,Vayne; Demacia,"[Assault 3] (+3 {Might} while I'm an attacker.)
If an opponent controls a battlefield, I enter ready.
When I conquer, you may pay {1 Energy} to return me to my owner's hand.",“On wings of night.”,False,False,,https://riftbound.gg/cards/ogn-035-vayne-hunter/
OGN-036,Vi - Destructive,Origins,Rare,Unit,Champion,Fury,2,3,Vi; Piltover,"[Ganking] (I can move from battlefield to battlefield.)
Recycle 1 from your trash: Give me +1 {Might} this turn.",“Punch first. Ask questions while punching.”,False,False,,https://riftbound.gg/cards/ogn-036-vi-destructive/
OGN-036a,Vi - Destructive (Arcane Box Set Promo),Origins,Showcase,Unit,Champion,Fury,2,3,Vi; Piltover,"[Ganking] (I can move from battlefield to battlefield.)
Recycle 1 from your trash: Give me +1 {Might} this turn.",,True,False,,https://riftbound.gg/cards/ogn-036a-vi-destructive/
OGN-037,Immortal Phoenix,Origins,Epic,Unit,,Fury,3,3,Spirit,"[Assault 2] (+2 {Might} while I'm an attacker.)
When you kill a unit with a spell, you may pay {1 Energy}{Fury Rune} to play me from your trash.",The memory of every death fuels even brighter flames.,False,False,,https://riftbound.gg/cards/ogn-037-immortal-phoenix/
OGN-038,Kadregrin the Infernal,Origins,Epic,Unit,,Fury,9,9,Dragon; Demacia,"When you play me, draw 1 for each of your [Mighty] units. (A unit is Mighty while it has 5+ {Might}.)",First among flames.,False,False,,https://riftbound.gg/cards/ogn-038-kadregrin-the-infernal/
OGN-039,Kai'Sa - Survivor,Origins,Epic,Unit,Champion,Fury,4,4,Kai'Sa; The Void,"[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.)
When I conquer, draw 1.",“I like it here. I just might stay.”,False,False,,https://riftbound.gg/cards/ogn-039-kaisa-survivor/
OGN-039a,Kai'Sa - Survivor,Origins,Showcase,Unit,Champion,Fury,4,4,Kai'Sa; The Void,"[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.)
When I conquer, draw 1.",“I like it here. I just might stay.”,False,False,,https://riftbound.gg/cards/ogn-039a-kaisa-survivor/
OGN-040,Seal of Rage,Origins,Epic,Gear,,Fury,,,,{Exhaust}: [Reaction] — [Add] {Fury Rune}. (Abilities that add resources can't be reacted to.),,False,False,,https://riftbound.gg/cards/ogn-040-seal-of-rage/
OGN-041,Volibear - Furious,Origins,Epic,Unit,Champion,Fury,10,9,Volibear; Freljord,"[Deflect 2] (Opponents must pay {Any Rune}{Any Rune} to choose me with a spell or ability.)
When I attack, deal 5 damage split among any number of enemy units here.",“I split mountains with my roar!”,False,False,,https://riftbound.gg/cards/ogn-041-volibear-furious/
OGN-041a,Volibear - Furious,Origins,Showcase,Unit,Champion,Fury,10,9,Volibear; Freljord,"[Deflect 2] (Opponents must pay {Any Rune}{Any Rune} to choose me with a spell or ability.)
When I attack, deal 5 damage split among any number of enemy units here.",“I split mountains with my roar!”,False,False,,https://riftbound.gg/cards/ogn-041a-volibear-furious/
OGN-042,Calm Rune,Origins,Common,Rune,Basic,Calm,,,,,,False,False,,https://riftbound.gg/cards/ogn-042-calm-rune/
OGN-042a,Calm Rune,Origins,Showcase,Rune,Basic,Calm,,,,,,False,False,,https://riftbound.gg/cards/ogn-042a-calm-rune/
OGN-042b,Calm Rune (Origins Nexus Night Promo),Origins,Showcase,Rune,,Calm,,,,,,True,False,,https://riftbound.gg/cards/ogn-042b-calm-rune/
OGN-043,Charm,Origins,Common,Spell,,Calm,1,,,Move an enemy unit.,"“There’s no harm in looking.”  
— Common last words",False,False,,https://riftbound.gg/cards/ogn-043-charm/
OGN-044,Clockwork Keeper,Origins,Common,Unit,,Calm,2,2,Shurima,"As you play me, you may pay {Calm Rune} as an additional cost. If you do, draw 1.",It always goes back for seconds.,False,False,"You may pay {Calm Rune} as an additional cost to play me.
When you play me, if you paid the additional cost, draw 1.",https://riftbound.gg/cards/ogn-044-clockwork-keeper/
OGN-045,Defy,Origins,Common,Spell,,Calm,1,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell that costs no more than {4 Energy} and no more than {Any Rune}.",“No.”,False,False,,https://riftbound.gg/cards/ogn-045-defy/
OGN-046,En Garde,Origins,Common,Spell,,Calm,1,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit +1 {Might} this turn, then an additional +1 {Might} this turn if it is the only unit you control there.",“Is this supposed to be a challenge?” —Fiora,False,False,,https://riftbound.gg/cards/ogn-046-en-garde/
OGN-047,Find Your Center,Origins,Common,Spell,,Calm,3,,,"[Action] (Play on your turn or in showdowns.)
If an opponent's score is within 3 points of the Victory Score, this costs {2 Energy} less.
Draw 1 and channel 1 rune exhausted.",One does not wait for the perfect moment.,False,False,,https://riftbound.gg/cards/ogn-047-find-your-center/
OGN-048,Meditation,Origins,Common,Spell,,Calm,2,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
As an additional cost to play this, you may exhaust a friendly unit. If you do, draw 2. Otherwise, draw 1.",,False,False,,https://riftbound.gg/cards/ogn-048-meditation/
OGN-049,Playful Phantom,Origins,Common,Unit,,Calm,5,5,Spirit; Shadow Isles,,“My toys break so easily.”,False,False,,https://riftbound.gg/cards/ogn-049-playful-phantom/
OGN-050,Rune Prison,Origins,Common,Spell,,Calm,2,,,"[Action] (Play on your turn or in showdowns.)
Stun a unit. (It doesn't deal combat damage this turn.)","“Be still!”  
—Ryze",False,False,,https://riftbound.gg/cards/ogn-050-rune-prison/
OGN-051,Solari Shieldbearer,Origins,Common,Unit,,Calm,3,2,Mount Targon,"When you play me, stun a unit. (It doesn't deal combat damage this turn.)",“Discipline is our shield.”,False,False,,https://riftbound.gg/cards/ogn-051-solari-shieldbearer/
OGN-052,Stalwart Poro,Origins,Common,Unit,,Calm,2,2,Poro,[Shield] (+1 {Might} while I'm a defender.),It suits him.,False,False,,https://riftbound.gg/cards/ogn-052-stalwart-poro/
OGN-052-P,Stalwart Poro (Origins Nexus Night Promo),Origins,Common,Unit,,Calm,2,2,Poro,[Shield] (+1 {Might} while I'm a defender.),,True,False,,https://riftbound.gg/cards/ogn-052-p-stalwart-poro/
OGN-053,Stand United,Origins,Common,Spell,,Calm,3,,,"[Hidden] (Hide now for {Any Rune} to react with later for {0 Energy}.)
[Action] (Play on your turn or in showdowns.)
Buff a friendly unit. Buffs give an additional +1 {Might} to friendly units this turn. (To buff a unit, give it a +1 {Might} buff if it doesn't already have one.)",,False,False,,https://riftbound.gg/cards/ogn-053-stand-united/
OGN-054,Sunlit Guardian,Origins,Common,Unit,,Calm,3,3,Shurima,"[Shield] (+1 {Might} while I'm a defender.)
[Tank] (I must be assigned combat damage first.)",Nobody ever won a war without defending.,False,False,,https://riftbound.gg/cards/ogn-054-sunlit-guardian/
OGN-055,Wielder of Water,Origins,Common,Unit,,Calm,3,2,Ionia,"While I'm attacking or defending alone, I have +2 {Might}.",Each drop an ocean of possibilities.,False,False,,https://riftbound.gg/cards/ogn-055-wielder-of-water/
OGN-055-P,Wielder of Water (Origins Nexus Night Promo),Origins,Common,Unit,,Calm,3,2,Ionia,"While I'm attacking or defending alone, I have +2 {Might}.",,True,False,,https://riftbound.gg/cards/ogn-055-p-wielder-of-water/
OGN-056,Adaptatron,Origins,Uncommon,Unit,,Calm,4,3,Mech; Piltover,"When I conquer, you may kill a gear. If you do, buff me. (If I don't have a buff, I get a +1 {Might} buff.)",There’s a scrap for that.,False,False,,https://riftbound.gg/cards/ogn-056-adaptatron/
OGN-057,Block,Origins,Uncommon,Spell,,Calm,2,,,"[Hidden] (Hide now for {Any Rune} to react with later for {0 Energy}.)
[Action] (Play on your turn or in showdowns.)
Give a unit [Shield 3] and [Tank] this turn. (+3 {Might} while it's a defender. It must be assigned combat damage first.)",,False,False,,https://riftbound.gg/cards/ogn-057-block/
OGN-058,Discipline,Origins,Uncommon,Spell,,Calm,2,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 {Might} this turn. Draw 1.",A blade is only as sharp as the one who wields it.,False,False,,https://riftbound.gg/cards/ogn-058-discipline/
OGN-058-P,Discipline (Origins Nexus Night Promo),Origins,Uncommon,Spell,,Calm,2,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Give a unit +2 {Might} this turn. Draw 1.",,True,False,,https://riftbound.gg/cards/ogn-058-p-discipline/
OGN-059,Eclipse Herald,Origins,Uncommon,Unit,,Calm,7,7,Bird; Mount Targon,"When you stun an enemy unit, ready me and give me +1 {Might} this turn.",An omen as terrifying as that which follows.,False,False,,https://riftbound.gg/cards/ogn-059-eclipse-herald/
OGN-060,Mask of Foresight,Origins,Uncommon,Gear,,Calm,2,,,"When a friendly unit attacks or defends alone, give it +1 {Might} this turn.","To know the future, you must first accept it.",False,False,,https://riftbound.gg/cards/ogn-060-mask-of-foresight/
OGN-061,Poro Herder,Origins,Uncommon,Unit,,Calm,3,3,Freljord,"When you play me, if you control a Poro, buff me and draw 1. (If I don't have a buff, I get a +1 {Might} buff.)",A fluff is where you make it.,False,False,,https://riftbound.gg/cards/ogn-061-poro-herder/
OGN-062,Reinforce,Origins,Uncommon,Spell,,Calm,5,,,"Look at the top 5 cards of your Main Deck. You may banish a unit from among them, then play it, reducing its cost by {5 Energy}. Recycle the remaining cards.",,False,False,"Look at the top 5 cards of your Main Deck. You may banish a unit from among them, then play it, reducing its cost by {5 Energy}. Recycle the remaining cards.",https://riftbound.gg/cards/ogn-062-reinforce/
OGN-063,Spirit's Refuge,Origins,Uncommon,Gear,,Calm,2,,,"When you play this, buff a friendly unit. (If it doesn't have a buff, it gets a +1 {Might} buff.)
Friendly buffed units have [Deflect] if they didn't already. (Opponents must pay {Any Rune} to choose those units with a spell or ability.)",,False,False,,https://riftbound.gg/cards/ogn-063-spirits-refuge/
OGN-064,Wind Wall,Origins,Uncommon,Spell,,Calm,3,,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Counter a spell.","“Face the wind!”  
—Yasuo",False,False,,https://riftbound.gg/cards/ogn-064-wind-wall/
OGN-065,Wizened Elder,Origins,Uncommon,Unit,,Calm,4,4,Ionia,"While I'm buffed, I have an additional +1 {Might}.",“I’m still fighting at my age. That should concern you more than it does.”,False,False,,https://riftbound.gg/cards/ogn-065-wizened-elder/
OGN-066,Ahri - Alluring,Origins,Rare,Unit,Champion,Calm,5,4,Ahri; Ionia,"When I hold, you score 1 point.",“Remember this moment.”,False,False,,https://riftbound.gg/cards/ogn-066-ahri-alluring/
OGN-066-P,Ahri - Alluring (Origins Launch Event Promo),Origins,Rare,Unit,Champion,Calm,5,4,Ahri; Ionia,"When I hold, you score 1 point.",,True,False,,https://riftbound.gg/cards/ogn-066-p-ahri-alluring/
OGN-066a,Ahri - Alluring,Origins,Showcase,Unit,Champion,Calm,5,4,Ahri; Ionia,"When I hold, you score 1 point.",“Remember this moment.”,False,False,,https://riftbound.gg/cards/ogn-066a-ahri-alluring/
OGN-067,Blitzcrank - Impassive,Origins,Rare,Unit,Champion,Calm,5,5,Mech; Blitzcrank; Zaun,"[Tank] (I must be assigned combat damage first.)
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.",,False,False,,https://riftbound.gg/cards/ogn-067-blitzcrank-impassive/
OGN-067-P,"Blitzcrank, Impassive (Origins Summoner Skirmish Top 8 Promo)",Origins,Rare,Unit,,Calm,5,5,Mech; Blitzcrank; Zaun,"[Tank] (I must be assigned combat damage first.)
When you play me to a battlefield, you may move an enemy unit to here.
When I hold, return me to my owner's hand.",,True,False,,https://riftbound.gg/cards/ogn-067-p-blitzcrank-impassive/
OGN-068,Caitlyn - Patrolling,Origins,Rare,Unit,Champion,Calm,3,3,Caitlyn; Piltover,"I must be assigned combat damage last.
{Exhaust}: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",“I never miss.”,False,False,,https://riftbound.gg/cards/ogn-068-caitlyn-patrolling/
OGN-068a,Caitlyn - Patrolling (Arcane Box Set Promo),Origins,Showcase,Unit,Champion,Calm,3,3,Caitlyn; Piltover,"I must be assigned combat damage last.
{Exhaust}: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",,True,False,,https://riftbound.gg/cards/ogn-068a-caitlyn-patrolling/
OGN-069,Last Stand,Origins,Rare,Spell,,Calm,3,,,"[Action] (Play on your turn or in showdowns.)
Double a friendly unit's Might this turn. Give it [Temporary]. (Kill it at the start of its controller's Beginning Phase, before scoring.)",Worth it.,False,False,,https://riftbound.gg/cards/ogn-069-last-stand/
OGN-070,Mageseeker Warden,Origins,Rare,Unit,,Calm,6,5,Demacia,"While I'm at a battlefield, opponents can only play units to their base.
While I'm at a battlefield, spells and abilities can't ready enemy units and gear.",,False,False,,https://riftbound.gg/cards/ogn-070-mageseeker-warden/
OGN-071,Party Favors,Origins,Rare,Spell,,Calm,3,,,"Each other player chooses Cards or Runes. For each player that chooses Cards, you and that player each draw 1. For each player that chooses Runes, you and that player each channel 1 rune exhausted.",,False,False,,https://riftbound.gg/cards/ogn-071-party-favors/
OGN-072,Solari Shrine,Origins,Rare,Gear,,Calm,3,,,"When you kill a stunned enemy unit, you may exhaust this to draw 1.",The names of the fallen are a lesson for our descendants.,False,False,,https://riftbound.gg/cards/ogn-072-solari-shrine/
OGN-073,Sona - Harmonious,Origins,Rare,Unit,Champion,Calm,4,4,Sona; Demacia,"While I'm at a battlefield, ready 4 friendly runes at the end of your turn.",“The symphony never ends.”,False,False,"At the end of your turn, if I'm at a battlefield, ready up to 4 friendly runes.",https://riftbound.gg/cards/ogn-073-sona-harmonious/
OGN-074,Taric - Protector,Origins,Rare,Unit,Champion,Calm,4,4,Taric; Mount Targon,"[Shield] (+1 {Might} while I'm a defender.)
[Tank] (I must be assigned combat damage first.)
Other friendly units here have [Shield].",“Each life is a rare jewel.”,False,False,,https://riftbound.gg/cards/ogn-074-taric-protector/
OGN-075,Tasty Faefolk,Origins,Rare,Unit,,Calm,7,6,Fae; Bandle City,"[Accelerate] (You may pay {1 Energy}{Calm Rune} as an additional cost to have me enter ready.)
[Deathknell] — Channel 2 runes exhausted and draw 1. (When I die, get the effect.)",,False,False,,https://riftbound.gg/cards/ogn-075-tasty-faefolk/
OGN-076,Yasuo - Remorseful,Origins,Rare,Unit,Champion,Calm,6,6,Yasuo; Ionia,"When I attack, deal damage equal to my Might to an enemy unit here.",“Is a leaf’s only purpose to fall?”,False,False,,https://riftbound.gg/cards/ogn-076-yasuo-remorseful/
